CustomerID	NameStyle	Title	FirstName	MiddleName	LastName	Suffix	CompanyName	SalesPerson	EmailAddress	Phone	PasswordHash	PasswordSalt	ModifiedDate
100	0	Mr.	Kirk	T	King		Up-To-Date Sports	adventure-works\josé1	kirk2@adventure-works.com	979-555-0163	056V7iOc8FPUiLanlyEqQX6cAWuL0TJ8fQBhX7mEjMU=	b96sfSU=	2007-08-01 00:00:00
101	0	Mr.	William	J.	Conner		Urban Sports Emporium	adventure-works\josé1	william1@adventure-works.com	383-555-0111	GZyRS1qyQMxNWXYf0B1uj2nyQjhk4oN+Qv3geEMUy5A=	94SS2WQ=	2006-08-01 00:00:00
102	0	Ms.	Linda		Leste		National Manufacturing	adventure-works\garrett1	linda7@adventure-works.com	493-555-0134	heRwLFQMae6Y0X7+Q7tLrq4gB5sXd8jC7uiIjXlEs6Y=	OHu+9rc=	2005-08-01 00:00:00
106	0	Ms.	Andrea	A.	Thomsen		West Side Mart	adventure-works\jae0	andrea1@adventure-works.com	1 (11) 500 555-0120	LDoJwsGCFLtxVdbdQBbN/to7zFF1skP+hWLrIrCxvAw=	NuexV8w=	2007-09-01 00:00:00
109	0	Mr.	Daniel	P.	Thompson		Travel Sports	adventure-works\pamela0	daniel2@adventure-works.com	247-555-0197	DgTXKBbRFAv0jGUCn8yCPgnYQP1JhhVioFj9E1gXCS8=	jcMXc0w=	2007-09-01 00:00:00
110	0	Ms.	Kendra	N.	Thompson		Vintage Sport Boutique	adventure-works\david8	kendra0@adventure-works.com	464-555-0188	dBvr8YSJ5D5BzBQ6uCOKmYVG2wDeIf97H4Jh3ePPYHM=	IS71rL8=	2007-07-01 00:00:00
111	0	Mr.	Scott	A.	Colvin		Westside Cycle Store	adventure-works\jillian0	scott1@adventure-works.com	119-555-0144	4QoOmH+4/mabhuXqIQnoVm+1MjvTYyAHid9vpNehSxs=	sA8S2v4=	2005-12-01 00:00:00
112	0	Ms.	Elsie	L.	Lewin		Town Industries	adventure-works\jillian0	elsie0@adventure-works.com	803-555-0116	sbrtAXJY79C5nTfNaktfR5zn9+uSLMSL26NETFSeEas=	UUwXzgY=	2007-09-01 00:00:00
113	0	Mr.	Donald	M.	Thompson		Trendy Department Stores	adventure-works\shu0	donald1@adventure-works.com	273-555-0111	HfjBjq3HyrYM/vkKe/z2JUvmTeROuQWy7ntzIG/uTNk=	ke7sTgo=	2007-09-01 00:00:00
114	0	Mr.	John	L.	Colon		Two Wheels Cycle Store	adventure-works\linda3	john14@adventure-works.com	397-555-0144	9HEZAYB77VjHRd83ZDP94/ugDP0PhvUiIRCi3Cl5y7A=	j6Z6ny8=	2005-09-01 00:00:00
115	0	Mr.	George	Z.	Li		Security Racks and Locks Wholesalers	adventure-works\shu0	george3@adventure-works.com	699-555-0183	y3YyySPHg7l+/+LZkIFmyZ7gE+BOIOdPEq+t+oE093g=	4m5UYgM=	2006-08-01 00:00:00
118	0	Mr.	Yale		Li		Rapid Bikes	adventure-works\josé1	yale0@adventure-works.com	316-555-0138	B2RR480ridZSqURXY3APlxFk13GITW6LDFutGbpSUIs=	5MEUKYU=	2005-09-01 00:00:00
119	0	Ms.	Phyllis	A.	Thomas		Red Bicycle Company	adventure-works\josé1	phyllis2@adventure-works.com	667-555-0112	hAXpzsxtYdB4R3XMc08m98BwHHvL0+J6J+y0u7B1ngg=	ycYA+jA=	2005-07-01 00:00:00
120	0	Mr.	Pat		Coleman		Machines & Cycles Store	adventure-works\garrett1	pat2@adventure-works.com	292-555-0128	61UcbVZnGT5eqxs0oFMv4JyipeaQCUZgUZkPgtVNBDo=	7+I+4k4=	2007-07-01 00:00:00
124	0	Ms.	Yuhong		Li		Nearby Sporting Goods	adventure-works\jae0	yuhong1@adventure-works.com	1 (11) 500 555-0176	XrcuygOte7eGdTleJOKDmf/XBySqc/0xVbjpIPzMWQA=	R273GbA=	2006-08-01 00:00:00
127	0	Mr.	Joseph	M.	Lique		Front Sporting Goods	adventure-works\pamela0	joseph2@adventure-works.com	119-555-0195	7dnLSdRuWFKBMjmORanIkwGVy3smf5yZI3YxSSyd5/U=	jH5dJh4=	2006-08-01 00:00:00
128	0	Ms.	Judy	J.	Thames		Demand Distributors	adventure-works\david8	judy3@adventure-works.com	799-555-0118	BXs/jMkqmCMJn6V9vWS+iM7P+R0MGu2nmP4SLrJrYCg=	OSnERUk=	2006-06-01 00:00:00
129	0	Ms.	Connie	L.	Coffman		Discount Bicycle Specialists	adventure-works\jillian0	connie0@adventure-works.com	426-555-0181	Wkqdm53a0uim7B/e9+IT0I81uzxMNnh1FBaeXd3nyP0=	3tT/ffQ=	2005-11-01 00:00:00
130	0	Mr.	Paulo	H.	Lisboa		Elite Bikes	adventure-works\jillian0	paulo0@adventure-works.com	380-555-0116	MO2kc8uiSARHp+gxFShJchORmBfhfAz+NC31TDVciS8=	QXbFwBQ=	2006-09-01 00:00:00
131	0	Ms.	Vanessa	J.	Tench		Eighth Bike Store	adventure-works\shu0	vanessa0@adventure-works.com	785-555-0163	qnzSZKGLMJiDzrH9h5VfDojb/pTtQKfZNc7nW7qzQ90=	dPOi278=	2007-08-01 00:00:00
132	0	Ms.	Teanna	M.	Cobb		Another Sporting Goods Company	adventure-works\linda3	teanna0@adventure-works.com	661-555-0168	oDFb9hjhU08th9xeH9bRAY/U7JJTdaLY9NiegJj3vzk=	60Z0AcQ=	2007-08-01 00:00:00
133	0	Mr.	Michael		Graff		Commercial Sporting Goods	adventure-works\shu0	michael16@adventure-works.com	132-555-0150	NRM1BXnt0/4EDaPuM5qday+BOZANEisKCyGGQqJxXpY=	ewV5lII=	2006-09-01 00:00:00
136	0	Mr.	Derek		Graham		Wholesale Parts	adventure-works\josé1	derek0@adventure-works.com	674-555-0187	FJJVccEFyVV8NubSxOFblRtnKqQD221f9AT9xxYTOUA=	8ju6sOA=	2005-08-01 00:00:00
137	0		Gytis	M	Barzdukas		Transportation Options	adventure-works\josé1	gytis0@adventure-works.com	257-555-0119	muiJ85PHJTw5ocOM+yS+gq+w8REzzCOfzXZNFyDZniI=	lUNnQso=	2005-11-01 00:00:00
138	0	Ms.	Jane		Clayton		South Bike Company	adventure-works\garrett1	jane1@adventure-works.com	206-555-0195	o02Imw+gyZX9J1yiTBKYD4M5XlerPqz3usX+v3CsDHA=	PZCGT2g=	2007-08-01 00:00:00
142	0	Mr.	Jon		Grande		Riding Cycles	adventure-works\jae0	jon1@adventure-works.com	1 (11) 500 555-0114	26rwIeR9oyfo+P6lodeASP/MAC2/tdKFbmFVC5uBRmA=	83inWt0=	2007-09-01 00:00:00
145	0	Mr.	Ted		Bremer		Raw Materials Inc	adventure-works\pamela0	ted0@adventure-works.com	962-555-0166	mBQHYK00pq9+tDgH7TR6fPrrYQ2drX7/VuuHgkUSOiQ=	MxiyX14=	2005-08-01 00:00:00
146	0	Mr.	Richard		Bready		Latest Sports Equipment	adventure-works\david8	richard1@adventure-works.com	340-555-0131	kOabrc0OqOISR4N3D3FZkOh3yAKQCF/ozSx7G00Kpt0=	jpRF8lY=	2005-07-01 00:00:00
147	0	Ms.	Alice		Clark		Local Hardware Factory	adventure-works\jillian0	alice1@adventure-works.com	221-555-0141	ZZhnNULC5d/7tZv0hUtCl4jKwgyZql8aSrIzlTaTvg0=	hGHOthw=	2006-09-01 00:00:00
148	0	Mr.	Alan		Brewer		Lots of Bikes Storehouse	adventure-works\jillian0	alan1@adventure-works.com	494-555-0134	t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=	6ZoXk8E=	2005-11-01 00:00:00
149	0	Mr.	Cornelius	L.	Brandon		Initial Bike Company	adventure-works\shu0	cornelius0@adventure-works.com	229-555-0114	fftjn+fbjvHFJ4bf7rTpLdlCHv61xF+y0ZPKKevQV98=	OzSaq2k=	2006-09-01 00:00:00
150	0	Ms.	Jill	J.	Christie		Fleet Bikes	adventure-works\linda3	jill1@adventure-works.com	927-555-0198	Vlb2fj7yW2d5JtfPLZvbicsQNEgLhh0b93Uw2pLEBuE=	2cMmc9Y=	2006-08-01 00:00:00
151	0	Mr.	Walter	J.	Brian	IV	Futuristic Bikes	adventure-works\shu0	walter0@adventure-works.com	163-555-0155	NN11OHHxrOm6r8lPyhXuBk13QMD+8tph5PIdJ4t0JmY=	PiILPfc=	2006-09-01 00:00:00
154	0	Mr.	Carlton	M.	Carlisle		Camping and Sports Store	adventure-works\josé1	carlton0@adventure-works.com	193-555-0116	GJhY98QoDTRmv/6f6RcLwoj2v33jAZopR8AjLor/sqc=	fYgdeM0=	2007-09-01 00:00:00
155	0	Mr.	Joseph	N.	Castellucio		Corner Bicycle Supply	adventure-works\josé1	joseph1@adventure-works.com	180-555-0114	NLAR7H8spiCb/C0qY+3qkJm3VuoSOqDw7yspRc1CTTg=	Whn5BXY=	2005-09-01 00:00:00
156	0	Mr.	Lester	J.	Bowman	Sr.	Metal Processing Company	adventure-works\garrett1	lester0@adventure-works.com	844-555-0112	+CFHIbYlE+nsmSbCpJOTLZXChbtYA9JzdSnd1Qejk5g=	w7ec7iI=	2005-09-01 00:00:00
160	0	Ms.	Brigid	F.	Cavendish		Vigorous Sports Store	adventure-works\jae0	brigid0@adventure-works.com	1 (11) 500 555-0178	20rlqqjWOPLBi7oYKBrHMzouHcYl6OknJcV+yc0zQKo=	QS6UTS4=	2006-09-01 00:00:00
163	0	Mr.	Andrew		Cencini		Sports Merchandise	adventure-works\pamela0	andrew2@adventure-works.com	644-555-0111	Eo1pvctUvdkRpUgGHwOfILlh5uZiYuLv+eBXLj1viR8=	LCi+QgQ=	2007-09-01 00:00:00
164	0	Ms.	Cindy	M.	Dodd		Suburban Cycle Shop	adventure-works\david8	cindy0@adventure-works.com	706-555-0140	C7FdyTzpzS44mEsqgDG4s8S3CZJtl+yiy9sH4rEI9VY=	M4cce8o=	2005-08-01 00:00:00
165	0	Mr.	Randall		Boseman		Third Bike Store	adventure-works\jillian0	randall0@adventure-works.com	383-555-0117	UsXZ9ElCaZBo0YED9A2khFNGjNK+8yHdxnraI+OHsZ8=	oMeb83g=	2006-09-01 00:00:00
166	0	Ms.	Stacey	M.	Cereghino		Fitness Toy Store	adventure-works\jillian0	stacey0@adventure-works.com	351-555-0131	u/IE2VGaycl6iSw+8Es0ro5F6g//TK/eJA3ICMBHXmc=	n+71V7I=	2005-07-01 00:00:00
167	0	Mr.	Blaine		Dockter		Farthermost Bike Shop	adventure-works\shu0	blaine0@adventure-works.com	156-555-0187	9E6RJtJrsu2iqMbyKMJRaVfPipCW5XObegb3KE3K85M=	hiSI26I=	2005-08-01 00:00:00
168	0	Sr.	Luis		Bonifaz		Economy Bikes Company	adventure-works\linda3	luis0@adventure-works.com	688-555-0113	fOnF7T/vMnI6uJzH1IxN9lcM8z31odelgSIW9Vu8sD4=	dz8Ej6A=	2006-09-01 00:00:00
169	0	Ms.	Brenda		Diaz		Downtown Hotel	adventure-works\shu0	brenda2@adventure-works.com	147-555-0192	84meSWqxRT9guwZSihzP3MYe7UV2VaMLBldOf8pTy5A=	lsd099Q=	2005-09-01 00:00:00
172	0	Ms.	Gabriele		Dickmann		Certified Sports Supply	adventure-works\josé1	gabriele0@adventure-works.com	835-555-0116	6eApe0lB1ZkvyJB3Uo3LaYGV8sm2/NE9fUHXM7a0RYU=	M8SoIWU=	2005-09-01 00:00:00
173	0	Mr.	Rudolph	J.	Dillon	Sr.	Sundry Sporting Goods	adventure-works\josé1	rudolph0@adventure-works.com	722-555-0169	hynkaEM/LxC86JGG4q4AGgiar6iWoIu5bLVB3gFq2RM=	DUDd/5g=	2005-09-01 00:00:00
174	0	Mr.	Michael	L.	Bohling		Toy Manufacturing Inc	adventure-works\garrett1	michael12@adventure-works.com	838-555-0147	OaSaJ/wRTB0DFRe0vMDnhW8BPYsB0r2Stk5dzsBWusI=	G5ADims=	2005-09-01 00:00:00
